session,start_time,end_time,duration,unique_leads,全场景商机数,曝光人数,场观,小风车点击次数,广告消耗,CPL,CPLO,点击转化率,曝光转化率
2月11日8点,2026-02-11 08:00:00,2026-02-11 11:00:12,0 days 03:00:12,16,45.0,45579,8233.0,174.0,5325.9,332.86875,118.35333333333332,0.09195402298850575,0.0003510388556133307
2月11日11点,2026-02-11 11:00:00,2026-02-11 14:00:16,0 days 03:00:16,13,31.0,51421,9903.0,101.0,5688.4,437.5692307692307,183.49677419354836,0.12871287128712872,0.0002528149977635596
2月12日12点,2026-02-12 12:00:00,2026-02-12 15:00:03,0 days 03:00:03,17,30.0,43173,6353.0,116.0,5923.13,348.4194117647059,197.43766666666667,0.14655172413793102,0.00039376462140689784
2月12日16点,2026-02-12 16:00:00,2026-02-12 19:00:11,0 days 03:00:11,23,36.0,61047,10763.0,135.0,6445.94,280.2582608695652,179.05388888888888,0.17037037037037037,0.00037675889069077926
2月12日19点,2026-02-12 19:00:00,2026-02-12 22:00:36,0 days 03:00:36,19,44.0,102233,24607.0,246.0,9250.86,486.88736842105266,210.24681818181818,0.07723577235772358,0.000185849970166189
2月13日12点,2026-02-13 12:00:00,2026-02-13 15:01:10,0 days 03:01:10,7,21.0,40975,5424.0,134.0,4931.48,704.4971428571428,234.83238095238093,0.05223880597014925,0.0001708358755338621
2月13日16点,2026-02-13 16:00:00,2026-02-13 18:59:57,0 days 02:59:57,32,51.0,89977,14236.0,375.0,9064.16,283.255,177.72862745098038,0.08533333333333333,0.0003556464429798726
2月13日20点,2026-02-13 20:00:00,2026-02-13 22:59:57,0 days 02:59:57,34,57.0,141543,25951.0,419.0,9491.84,279.17176470588237,166.52350877192984,0.081145584725537,0.00024020968892845285
2月24日9点,2026-02-24 09:00:00,2026-02-24 12:00:36,0 days 03:00:36,22,65.0,66820,10058.0,110.0,9213.71,418.80499999999995,141.7493846153846,0.2,0.0003292427416941036
2月24日12点,2026-02-24 12:00:00,2026-02-24 15:00:01,0 days 03:00:01,31,57.0,102404,13992.0,232.0,10436.65,336.666129032258,183.09912280701755,0.1336206896551724,0.00030272254990039454
2月24日16点,2026-02-24 16:00:00,2026-02-24 18:59:26,0 days 02:59:26,56,104.0,140521,18177.0,449.0,14788.33,264.07732142857145,142.19548076923076,0.12472160356347439,0.000398516947644836
2月24日20点,2026-02-24 20:00:00,2026-02-24 23:00:01,0 days 03:00:01,28,42.0,136298,15729.0,152.0,9475.74,338.4192857142857,225.61285714285714,0.18421052631578946,0.00020543221470601183
2月25日8点,2026-02-25 08:00:00,2026-02-25 11:00:30,0 days 03:00:30,13,38.0,58070,8534.0,178.0,7442.32,572.4861538461538,195.85052631578947,0.07303370786516854,0.00022386774582400552
2月25日12点,2026-02-25 12:00:00,2026-02-25 15:00:04,0 days 03:00:04,14,41.0,80260,12032.0,236.0,10639.97,759.9978571428571,259.51146341463414,0.059322033898305086,0.000174433092449539
2月25日16点,2026-02-25 16:00:00,2026-02-25 19:00:14,0 days 03:00:14,36,59.0,127737,17180.0,244.0,10819.61,300.5447222222222,183.38322033898305,0.14754098360655737,0.0002818290706686395
2月25日20点,2026-02-25 20:00:00,2026-02-25 23:00:02,0 days 03:00:02,66,105.0,180861,22415.0,641.0,16819.97,254.84803030303033,160.19019047619048,0.1029641185647426,0.0003649211272745368
2月26日8点,2026-02-26 08:00:00,2026-02-26 10:31:50,0 days 02:31:50,17,64.0,64765,11656.0,162.0,8299.84,488.2258823529412,129.685,0.10493827160493827,0.0002624874546437119
2月26日12点,2026-02-26 12:00:00,2026-02-26 15:00:05,0 days 03:00:05,28,52.0,90614,13192.0,100.0,10376.37,370.5846428571429,199.54557692307694,0.28,0.00030900302381530446
2月26日16点,2026-02-26 16:00:00,2026-02-26 18:59:59,0 days 02:59:59,15,44.0,74454,8629.0,131.0,7000.07,466.67133333333334,159.0925,0.11450381679389313,0.00020146667741155613
2月26日20点,2026-02-26 20:00:00,2026-02-26 22:59:55,0 days 02:59:55,64,107.0,172319,20905.0,569.0,13971.29,218.30140625,130.57280373831776,0.11247803163444639,0.00037140419802807585
2月27日8点,2026-02-27 08:00:00,2026-02-27 10:59:58,0 days 02:59:58,0,69.0,131167,14657.0,256.0,11193.68,0.0,162.2272463768116,0.0,0.0
2月27日12点,2026-02-27 12:00:00,2026-02-27 14:59:59,0 days 02:59:59,0,32.0,102044,12297.0,219.0,8611.38,0.0,269.105625,0.0,0.0
2月27日16点,2026-02-27 16:00:00,2026-02-27 19:01:26,0 days 03:01:26,0,44.0,105491,14718.0,355.0,9119.81,0.0,207.26840909090907,0.0,0.0
2月27日19点,2026-02-27 19:00:00,2026-02-27 21:59:38,0 days 02:59:38,0,43.0,100127,15447.0,339.0,7224.38,0.0,168.00883720930233,0.0,0.0
2月28日9点,2026-02-28 09:00:00,2026-02-28 14:59:37,0 days 05:59:37,0,125.0,139572,19824.0,386.0,19656.77,0.0,157.25416,0.0,0.0
2月28日16点,2026-02-28 16:00:00,2026-02-28 19:00:46,0 days 03:00:46,0,55.0,83138,12274.0,215.0,8459.4,0.0,153.80727272727273,0.0,0.0
2月28日20点,2026-02-28 20:00:00,2026-02-28 22:59:32,0 days 02:59:32,0,43.0,101051,14586.0,195.0,6339.05,0.0,147.41976744186047,0.0,0.0
